grantor|grantee|table_catalog|table_schema|table_name|column_name|privilege_type|is_grantable
postgres|postgres|demo|bookings|aircrafts|model|REFERENCES|YES
postgres|postgres|demo|bookings|flights_v|scheduled_departure_local|SELECT|YES
postgres|postgres|demo|bookings|flights|aircraft_code|REFERENCES|YES
postgres|postgres|demo|bookings|boarding_passes|flight_id|INSERT|YES
postgres|postgres|demo|bookings|routes|departure_airport|INSERT|YES
postgres|postgres|demo|bookings|flights|status|SELECT|YES
postgres|postgres|demo|bookings|flights_v|arrival_airport|REFERENCES|YES
postgres|postgres|demo|bookings|bookings|book_date|INSERT|YES
postgres|postgres|demo|bookings|routes|departure_airport_name|INSERT|YES
postgres|postgres|demo|bookings|airports|airport_code|INSERT|YES
postgres|postgres|demo|bookings|flights_v|actual_departure|REFERENCES|YES
postgres|postgres|demo|bookings|flights_v|actual_duration|UPDATE|YES
postgres|postgres|demo|bookings|flights_v|actual_arrival_local|REFERENCES|YES
postgres|postgres|demo|bookings|flights_v|departure_city|INSERT|YES
postgres|postgres|demo|bookings|flights_v|departure_airport_name|SELECT|YES
postgres|postgres|demo|bookings|airports|timezone|REFERENCES|YES
postgres|postgres|demo|bookings|flights|flight_no|SELECT|YES
postgres|postgres|demo|bookings|routes|departure_city|INSERT|YES
postgres|postgres|demo|bookings|tickets|passenger_id|SELECT|YES
postgres|postgres|demo|bookings|airports_data|city|UPDATE|YES
postgres|postgres|demo|bookings|ticket_flights|amount|SELECT|YES
postgres|postgres|demo|bookings|flights_v|actual_departure|UPDATE|YES
postgres|postgres|demo|bookings|routes|flight_no|SELECT|YES
postgres|postgres|demo|bookings|ticket_flights|flight_id|UPDATE|YES
postgres|postgres|demo|bookings|flights|arrival_airport|SELECT|YES
postgres|postgres|demo|bookings|aircrafts|aircraft_code|SELECT|YES
postgres|postgres|demo|bookings|routes|arrival_city|SELECT|YES
postgres|postgres|demo|bookings|flights|scheduled_departure|INSERT|YES
postgres|postgres|demo|bookings|flights|aircraft_code|UPDATE|YES
postgres|postgres|demo|bookings|airports|airport_code|UPDATE|YES
postgres|postgres|demo|bookings|ticket_flights|ticket_no|INSERT|YES
postgres|postgres|demo|bookings|flights_v|arrival_airport|INSERT|YES
postgres|postgres|demo|bookings|boarding_passes|ticket_no|UPDATE|YES
postgres|postgres|demo|bookings|aircrafts|model|UPDATE|YES
postgres|postgres|demo|bookings|airports|airport_code|SELECT|YES
postgres|postgres|demo|bookings|flights_v|actual_departure_local|UPDATE|YES
postgres|postgres|demo|bookings|aircrafts_data|model|SELECT|YES
postgres|postgres|demo|bookings|flights|status|INSERT|YES
postgres|postgres|demo|bookings|routes|duration|SELECT|YES
postgres|postgres|demo|bookings|flights_v|arrival_airport|SELECT|YES
postgres|postgres|demo|bookings|routes|arrival_city|INSERT|YES
postgres|postgres|demo|bookings|aircrafts_data|aircraft_code|INSERT|YES
postgres|postgres|demo|bookings|airports|timezone|INSERT|YES
postgres|postgres|demo|bookings|flights_v|arrival_city|REFERENCES|YES
postgres|postgres|demo|bookings|airports|airport_name|REFERENCES|YES
postgres|postgres|demo|bookings|aircrafts_data|model|UPDATE|YES
postgres|postgres|demo|bookings|routes|arrival_airport_name|REFERENCES|YES
postgres|postgres|demo|bookings|bookings|total_amount|REFERENCES|YES
postgres|postgres|demo|bookings|aircrafts_data|model|REFERENCES|YES
postgres|postgres|demo|bookings|flights|scheduled_arrival|UPDATE|YES
postgres|postgres|demo|bookings|seats|seat_no|UPDATE|YES
postgres|postgres|demo|bookings|bookings|book_ref|UPDATE|YES
postgres|postgres|demo|bookings|flights_v|flight_id|UPDATE|YES
postgres|postgres|demo|bookings|airports|city|INSERT|YES
postgres|postgres|demo|bookings|bookings|book_ref|SELECT|YES
postgres|postgres|demo|bookings|seats|aircraft_code|SELECT|YES
postgres|postgres|demo|bookings|flights_v|flight_no|INSERT|YES
postgres|postgres|demo|bookings|flights|actual_arrival|REFERENCES|YES
postgres|postgres|demo|bookings|airports_data|timezone|UPDATE|YES
postgres|postgres|demo|bookings|ticket_flights|fare_conditions|SELECT|YES
postgres|postgres|demo|bookings|flights_v|actual_departure_local|SELECT|YES
postgres|postgres|demo|bookings|boarding_passes|boarding_no|INSERT|YES
postgres|postgres|demo|bookings|routes|departure_airport|REFERENCES|YES
postgres|postgres|demo|bookings|ticket_flights|amount|UPDATE|YES
